iter	Passed	Remaining
0	17	3501
1	27	2761
2	44	2898
3	59	2933
4	68	2656
5	80	2614
6	90	2494
7	98	2359
8	108	2311
9	116	2215
10	124	2146
11	132	2072
12	140	2025
13	148	1966
14	156	1930
15	164	1888
16	173	1865
17	180	1822
18	188	1792
19	194	1751
20	202	1725
21	209	1695
22	217	1674
23	225	1656
24	233	1637
25	241	1615
26	249	1599
27	256	1574
28	262	1549
29	270	1530
30	276	1507
31	284	1492
32	291	1473
33	299	1460
34	305	1441
35	313	1426
36	319	1408
37	326	1392
38	334	1380
39	341	1365
40	349	1353
41	355	1337
42	364	1330
43	371	1316
44	379	1307
45	386	1293
46	394	1283
47	400	1269
48	409	1262
49	416	1249
50	424	1240
51	432	1230
52	439	1217
53	446	1207
54	453	1195
55	462	1190
56	470	1181
57	478	1170
58	484	1158
59	493	1150
60	500	1139
61	510	1135
62	517	1125
63	526	1118
64	534	1109
65	542	1101
66	549	1091
67	558	1083
68	565	1073
69	573	1065
70	580	1054
71	589	1048
72	597	1039
73	606	1033
74	615	1026
75	624	1019
76	633	1011
77	641	1002
78	648	992
79	655	983
80	665	977
81	675	972
82	684	964
83	693	957
84	702	950
85	711	942
86	720	935
87	729	927
88	738	920
89	746	912
90	756	905
91	763	896
92	773	889
93	780	880
94	789	872
95	797	863
96	806	855
97	813	847
98	822	839
99	830	830
100	838	821
101	852	818
102	860	810
103	873	806
104	884	800
105	894	793
106	908	789
107	918	782
108	926	773
109	935	765
110	943	756
111	951	747
112	959	739
113	969	731
114	979	723
115	987	714
116	999	709
117	1011	702
118	1019	694
119	1029	686
120	1036	676
121	1046	669
122	1053	659
123	1062	651
124	1071	642
125	1079	634
126	1087	625
127	1097	617
128	1105	608
129	1114	600
130	1123	591
131	1130	582
132	1139	574
133	1147	565
134	1156	556
135	1164	547
136	1173	539
137	1180	530
138	1189	522
139	1198	513
140	1207	505
141	1214	496
142	1224	487
143	1231	478
144	1240	470
145	1248	461
146	1256	453
147	1264	444
148	1272	435
149	1280	426
150	1289	418
151	1296	409
152	1305	401
153	1313	392
154	1323	384
155	1331	375
156	1339	366
157	1346	357
158	1353	349
159	1360	340
160	1367	331
161	1373	322
162	1381	313
163	1388	304
164	1399	296
165	1405	287
166	1413	279
167	1419	270
168	1427	261
169	1435	253
170	1441	244
171	1449	236
172	1456	227
173	1464	218
174	1471	210
175	1478	201
176	1485	193
177	1492	184
178	1498	175
179	1504	167
180	1511	158
181	1518	150
182	1526	141
183	1533	133
184	1539	124
185	1546	116
186	1553	107
187	1562	99
188	1568	91
189	1580	83
190	1586	74
191	1594	66
192	1600	58
193	1608	49
194	1614	41
195	1622	33
196	1630	24
197	1639	16
198	1646	8
199	1653	0
